"fielder_pos","inning","batting_run_differential","outs_on_play","runs_on_play","throw","exchange","throw_dist","time_to_catch","ball_vx_0","ball_vz_0","ball_vy_0","ball_v_0","ball_ax_0","ball_az_0","ball_ay_0","ball_apex_x","ball_apex_y","ball_apex_z","player_px_7_0","player_py_7_0","player_px_8_0","player_py_8_0","player_px_9_0","player_py_9_0","landing_location_x","landing_location_y","launch_angle","launch_direction","launch_speed","runner_season_top_velo","runner_id","fielder_id","fielding_team_id","hitting_team_id","play_id","fielder_distance_x","fielder_distance_y"
8,3,-1,"no_out","no_run",87.88,1.879,179.059,2.8,6.78772,25.26944,89.94367,93.6722,0.97379,-22.38001,-23.37335,20.30198,154.55036,29.07879,-124.915,268.383,20.725,306.246,156.964,247.989,58.67898,280.93015,15.77588,4.19214,94.73694,6.125,1,212,26,18,1,37.95398,-25.31585
9,3,1,"no_out","run",72.619,0.901,171.262,5.739,12.52199,55.22027,76.91811,95.51164,1.20653,-20.20171,-37.6994,48.6489,203.38019,111.52706,-127.998,275.391,18.102,311.225,148.451,261.408,96.60028,345.01407,35.1865,9.06622,97.35416,7.61,1,226,22,18,2,-51.85072,83.60607
8,3,-2,"no_out","no_run",84.538,1,170.335,5.806,-0.72926,63.24802,60.09668,87.24939,-0.67352,-27.31559,-35.17692,-11.102,155.93892,124.95093,-142.715,251.029,5.463,327.319,128.432,280.118,-31.66954,262.70143,47.60176,-0.26278,87.53115,7.61,1,68,1,18,3,-37.13254,-64.61757
7,1,3,"no_out","run",69.015,1.399,149.091,3.8,-30.14105,37.282,76.3903,90.18818,1.05194,-23.00382,-28.87653,-74.15648,170.39743,54.35086,-138.812,266.322,15.037,309.355,123.19,246.867,-131.77686,299.29735,24.12366,-21.17599,91.44045,8.79,2,116,29,17,5,7.03514000000001,32.97535
7,5,1,"no_out","run",88.316,1.159,196.69,4.6,-25.07339,43.00801,69.89212,85.80951,1.966,-22.62036,-29.83686,-73.39374,175.66465,72.70193,-121.891,262.587,17.96,297.468,122.476,235.24,-131.90174,303.07162,29.54657,-19.58103,85.9559,8.79,2,97,9,17,6,-10.01074,40.48462
8,6,1,"no_out","run",83.594,1.168,169.814,4.371,19.64975,39.39109,67.15522,80.29691,-1.99252,-23.26311,-25.7817,41.62905,168.49443,64.91696,-114.661,262.57,14.531,320.206,155.274,273.469,69.12439,298.65396,29.57287,16.44019,81.55774,7.913,3,58,19,4,10,54.59339,-21.55204
8,7,-7,"no_out","no_run",91.352,1.52,162.189,3.68,14.00262,32.38608,61.9434,71.28756,0.94348,-20.87322,-17.75463,27.43499,140.73515,47.64644,-125.463,265.496,6.606,304.733,121.22,274.533,39.42561,254.14775,27.57046,12.55893,72.43798,7.792,4,26,3,19,16,32.81961,-50.58525
7,1,1,"no_out","run",62.228,1.399,146.896,3.52,-20.37985,31.93197,86.9596,94.85231,1.28469,-20.34781,-29.28107,-62.52795,171.83626,45.16781,-117.287,262.01,10.972,311.602,140.305,260.347,-137.97036,287.6822,19.78204,-12.81053,96.37671,7.792,4,164,29,19,17,-20.68336,25.6722
9,1,2,"no_out","run",97.006,1.24,218.04,3.36,15.15128,32.49496,72.71087,81.07006,1.33041,-20.78208,-20.37793,43.3667,147.85714,42.33172,-130.38,275.859,9.646,316.848,141.399,254.254,99.40583,270.36528,23.91985,11.47572,82.12723,8.797,6,100,8,28,19,-41.99317,16.11128
9,7,-2,"no_out","run",90.188,1.235,209.863,5.872,17.89496,63.95383,62.06806,90.89976,-2.79322,-31.04955,-34.06744,74.60871,150.4487,124.08547,-140.209,260.963,-13.349,305.068,130.01,265.77,158.03315,255.74275,44.64227,15.53002,92.73614,8.594,6,137,20,28,24,28.02315,-10.02725
